BUYER_STATE,BUYER_COUNTY,MONTH,MME
AR,ARKANSAS,1,4230.260000000052
AR,ARKANSAS,2,3543.390000000033
AR,ARKANSAS,3,3591.260000000037
AR,ARKANSAS,4,3783.4000000000365
AR,ARKANSAS,5,4256.400000000049
AR,ARKANSAS,6,3860.550000000052
AR,ARKANSAS,7,3854.0200000000436
AR,ARKANSAS,8,3897.1800000000458
AR,ARKANSAS,9,3738.060000000045
AR,ARKANSAS,10,4521.260000000035
AR,ARKANSAS,11,3881.5400000000477
AR,ARKANSAS,12,3782.1000000000467
AR,ASHLEY,1,3011.8900000000253
AR,ASHLEY,2,2789.620000000019
AR,ASHLEY,3,3218.500000000032
AR,ASHLEY,4,3145.3400000000374
AR,ASHLEY,5,3204.360000000025
AR,ASHLEY,6,3124.7300000000264
AR,ASHLEY,7,3073.440000000019
AR,ASHLEY,8,3238.0300000000266
AR,ASHLEY,9,3153.9500000000276
AR,ASHLEY,10,3341.710000000036
AR,ASHLEY,11,3043.620000000027
AR,ASHLEY,12,3286.910000000034
AR,BAXTER,1,9979.230000000114
AR,BAXTER,2,8866.230000000065
AR,BAXTER,3,10050.350000000108
AR,BAXTER,4,10146.060000000134
AR,BAXTER,5,9289.240000000047
AR,BAXTER,6,10118.60000000015
AR,BAXTER,7,10616.710000000176
AR,BAXTER,8,10597.520000000124
AR,BAXTER,9,9925.560000000121
AR,BAXTER,10,10246.160000000136
AR,BAXTER,11,10580.880000000161
AR,BAXTER,12,11398.88000000023
AR,BENTON,1,43638.80999999814
AR,BENTON,2,41409.439999998634
AR,BENTON,3,46829.979999997864
AR,BENTON,4,45287.46999999823
AR,BENTON,5,46153.119999998125
AR,BENTON,6,47353.27999999809
AR,BENTON,7,46142.91999999785
AR,BENTON,8,48094.22999999776
AR,BENTON,9,47297.41999999771
AR,BENTON,10,49516.23999999758
AR,BENTON,11,49268.9899999978
AR,BENTON,12,51306.00999999769
AR,BOONE,1,8998.670000000042
AR,BOONE,2,8316.380000000012
AR,BOONE,3,9434.610000000037
AR,BOONE,4,9292.68000000004
AR,BOONE,5,9219.45000000005
AR,BOONE,6,9575.640000000081
AR,BOONE,7,9668.040000000075
AR,BOONE,8,9967.230000000083
AR,BOONE,9,9561.220000000063
AR,BOONE,10,9957.150000000094
AR,BOONE,11,9852.400000000074
AR,BOONE,12,10053.630000000116
AR,BRADLEY,1,1179.6500000000005
AR,BRADLEY,2,1148.8799999999997
AR,BRADLEY,3,1297.8199999999993
AR,BRADLEY,4,1284.9099999999992
AR,BRADLEY,5,1348.6000000000004
AR,BRADLEY,6,1488.3499999999976
AR,BRADLEY,7,1362.9599999999969
AR,BRADLEY,8,1363.209999999999
AR,BRADLEY,9,1345.2299999999998
AR,BRADLEY,10,1404.9099999999971
AR,BRADLEY,11,1361.9099999999985
AR,BRADLEY,12,1329.269999999999
AR,CALHOUN,1,814.4100000000002
AR,CALHOUN,2,797.5199999999999
AR,CALHOUN,3,1147.29
AR,CALHOUN,4,732.9600000000003
