BUYER_STATE,BUYER_COUNTY,MONTH,MME
CA,ALAMEDA,1,365857.8600000519
CA,ALAMEDA,2,287520.8600000047
CA,ALAMEDA,3,319290.49000002776
CA,ALAMEDA,4,340821.600000038
CA,ALAMEDA,5,320734.93000002345
CA,ALAMEDA,6,318230.15000002563
CA,ALAMEDA,7,320354.20000002807
CA,ALAMEDA,8,321420.4900000273
CA,ALAMEDA,9,312464.1300000215
CA,ALAMEDA,10,309731.7400000278
CA,ALAMEDA,11,302128.78000001056
CA,ALAMEDA,12,346425.4400000435
CA,ALPINE,1,5.9
CA,ALPINE,2,1.21
CA,ALPINE,3,5.91
CA,ALPINE,7,0.45
CA,ALPINE,11,3.63
CA,ALPINE,12,6.970000000000001
CA,AMADOR,1,13557.000000000215
CA,AMADOR,2,12251.960000000152
CA,AMADOR,3,13593.90000000022
CA,AMADOR,4,12800.46000000014
CA,AMADOR,5,13294.250000000226
CA,AMADOR,6,13397.820000000225
CA,AMADOR,7,13216.29000000017
CA,AMADOR,8,13671.500000000186
CA,AMADOR,9,12988.080000000158
CA,AMADOR,10,13542.920000000224
CA,AMADOR,11,12607.220000000196
CA,AMADOR,12,13542.35000000021
CA,BUTTE,1,102331.61000000266
CA,BUTTE,2,99299.89000000234
CA,BUTTE,3,114251.59000000321
CA,BUTTE,4,104636.34000000243
CA,BUTTE,5,105325.02000000268
CA,BUTTE,6,107835.64000000256
CA,BUTTE,7,108677.44000000328
CA,BUTTE,8,112286.19000000301
CA,BUTTE,9,106339.95000000324
CA,BUTTE,10,111501.2800000029
CA,BUTTE,11,108476.73000000318
CA,BUTTE,12,111735.13000000367
CA,CALAVERAS,1,14180.950000000143
CA,CALAVERAS,2,13780.290000000161
CA,CALAVERAS,3,14964.53000000017
CA,CALAVERAS,4,14200.160000000138
CA,CALAVERAS,5,14277.510000000171
CA,CALAVERAS,6,14652.190000000115
CA,CALAVERAS,7,16230.230000000145
CA,CALAVERAS,8,14602.140000000172
CA,CALAVERAS,9,14944.050000000161
CA,CALAVERAS,10,14835.290000000141
CA,CALAVERAS,11,14519.160000000134
CA,CALAVERAS,12,14891.160000000145
CA,COLUSA,1,4572.300000000028
CA,COLUSA,2,3742.190000000023
CA,COLUSA,3,4585.810000000032
CA,COLUSA,4,4223.540000000025
CA,COLUSA,5,3977.860000000032
CA,COLUSA,6,4581.430000000021
CA,COLUSA,7,4445.15000000003
CA,COLUSA,8,4609.920000000039
CA,COLUSA,9,4480.450000000033
CA,COLUSA,10,4612.510000000026
CA,COLUSA,11,4326.360000000024
CA,COLUSA,12,4335.52000000003
CA,CONTRA COSTA,1,158625.11999999775
CA,CONTRA COSTA,2,149616.04000000024
CA,CONTRA COSTA,3,171726.04999999318
CA,CONTRA COSTA,4,159717.1099999975
CA,CONTRA COSTA,5,165524.98999999603
