BUYER_STATE,BUYER_COUNTY,YEAR/MONTH,MME,Year,FULL_STATES,Population,MME/CAP,PolicyState,Post
FL,ALACHUA,2006,82596.6186877293,2006,Florida,239506,0.34,True,False
FL,ALACHUA,2007,95259.62797679311,2007,Florida,242685,0.39,True,False
FL,ALACHUA,2008,114675.22192176849,2008,Florida,244888,0.47,True,False
FL,ALACHUA,2009,141281.0481854313,2009,Florida,246657,0.57,True,False
FL,ALACHUA,2010,150910.7858758919,2010,Florida,247336,0.61,True,True
FL,ALACHUA,2011,145750.68089929313,2011,Florida,249834,0.58,True,True
FL,ALACHUA,2012,127727.613021565,2012,Florida,251520,0.51,True,True
FL,BAKER,2006,11900.178637500152,2006,Florida,25571,0.47,True,False
FL,BAKER,2007,13793.788183225111,2007,Florida,26212,0.53,True,False
FL,BAKER,2008,15651.322154225169,2008,Florida,26725,0.59,True,False
FL,BAKER,2009,19165.96729500018,2009,Florida,27124,0.71,True,False
FL,BAKER,2010,29821.45321500012,2010,Florida,27115,1.1,True,True
FL,BAKER,2011,32777.553120000026,2011,Florida,27049,1.21,True,True
FL,BAKER,2012,21659.46165000021,2012,Florida,27053,0.8,True,True
FL,BAY,2006,61998.102472078564,2006,Florida,165644,0.37,True,False
FL,BAY,2007,61255.85799926616,2007,Florida,165345,0.37,True,False
FL,BAY,2008,65665.01292126594,2008,Florida,166267,0.39,True,False
FL,BAY,2009,68131.16719294015,2009,Florida,167464,0.41,True,False
FL,BAY,2010,73912.3022531658,2010,Florida,168852,0.44,True,True
FL,BAY,2011,73505.84484769049,2011,Florida,169555,0.43,True,True
FL,BAY,2012,73272.65335132717,2012,Florida,171757,0.43,True,True
FL,BRADFORD,2006,13424.830894900231,2006,Florida,28506,0.47,True,False
FL,BRADFORD,2007,15854.865475125225,2007,Florida,28825,0.55,True,False
FL,BRADFORD,2008,17501.063683500106,2008,Florida,28961,0.6,True,False
FL,BRADFORD,2009,21250.949666812667,2009,Florida,28979,0.73,True,False
FL,BRADFORD,2010,26551.078983862728,2010,Florida,28520,0.93,True,True
FL,BRADFORD,2011,21271.09919250028,2011,Florida,28431,0.75,True,True
FL,BRADFORD,2012,16872.471022500224,2012,Florida,27051,0.62,True,True
FL,BREVARD,2006,201186.1534030964,2006,Florida,535138,0.38,True,False
FL,BREVARD,2007,246505.6839382635,2007,Florida,539719,0.46,True,False
FL,BREVARD,2008,317947.5992638272,2008,Florida,542378,0.59,True,False
FL,BREVARD,2009,365366.2497193953,2009,Florida,542109,0.67,True,False
FL,BREVARD,2010,508840.976494513,2010,Florida,543376,0.94,True,True
FL,BREVARD,2011,481720.14990380843,2011,Florida,544359,0.88,True,True
FL,BREVARD,2012,363107.37734239077,2012,Florida,546966,0.66,True,True
FL,BROWARD,2006,1222607.3896553786,2006,Florida,1739348,0.7,True,False
FL,BROWARD,2007,1720337.481720641,2007,Florida,1720825,1.0,True,False
FL,BROWARD,2008,2180537.4886382525,2008,Florida,1723633,1.27,True,False
FL,BROWARD,2009,2584508.114014747,2009,Florida,1733310,1.49,True,False
FL,BROWARD,2010,3026736.844583195,2010,Florida,1748066,1.73,True,True
FL,BROWARD,2011,1492503.447654777,2011,Florida,1786980,0.84,True,True
FL,BROWARD,2012,809178.9096921141,2012,Florida,1814253,0.45,True,True
FL,CALHOUN,2006,1851.9058230000119,2006,Florida,13997,0.13,True,False
FL,CALHOUN,2007,2021.5322535000096,2007,Florida,14222,0.14,True,False
FL,CALHOUN,2008,2225.1565500000133,2008,Florida,14351,0.16,True,False
