BUYER_STATE,BUYER_COUNTY,YEAR/MONTH,FULL_STATES,MME/CAP,checker,final_checker,PolicyState,Post
FL,ALACHUA,2006,Florida,0.3449,7.0,7,True,False
FL,ALACHUA,2007,Florida,0.3925,7.0,7,True,False
FL,ALACHUA,2008,Florida,0.4683,7.0,7,True,False
FL,ALACHUA,2009,Florida,0.5728,7.0,7,True,False
FL,ALACHUA,2010,Florida,0.6101,7.0,7,True,True
FL,ALACHUA,2011,Florida,0.5834,7.0,7,True,True
FL,ALACHUA,2012,Florida,0.5078,7.0,7,True,True
FL,BAKER,2006,Florida,0.4654,7.0,7,True,False
FL,BAKER,2007,Florida,0.5262,7.0,7,True,False
FL,BAKER,2008,Florida,0.5856,7.0,7,True,False
FL,BAKER,2009,Florida,0.7066,7.0,7,True,False
FL,BAKER,2010,Florida,1.0998,7.0,7,True,True
FL,BAKER,2011,Florida,1.2118,7.0,7,True,True
FL,BAKER,2012,Florida,0.8006,7.0,7,True,True
FL,BAY,2006,Florida,0.3743,7.0,7,True,False
FL,BAY,2007,Florida,0.3705,7.0,7,True,False
FL,BAY,2008,Florida,0.3949,7.0,7,True,False
FL,BAY,2009,Florida,0.4068,7.0,7,True,False
FL,BAY,2010,Florida,0.4377,7.0,7,True,True
FL,BAY,2011,Florida,0.4335,7.0,7,True,True
FL,BAY,2012,Florida,0.4266,7.0,7,True,True
FL,BRADFORD,2006,Florida,0.4709,7.0,7,True,False
FL,BRADFORD,2007,Florida,0.55,7.0,7,True,False
FL,BRADFORD,2008,Florida,0.6043,7.0,7,True,False
FL,BRADFORD,2009,Florida,0.7333,7.0,7,True,False
FL,BRADFORD,2010,Florida,0.931,7.0,7,True,True
FL,BRADFORD,2011,Florida,0.7482,7.0,7,True,True
FL,BRADFORD,2012,Florida,0.6237,7.0,7,True,True
FL,BREVARD,2006,Florida,0.376,7.0,7,True,False
FL,BREVARD,2007,Florida,0.4567,7.0,7,True,False
FL,BREVARD,2008,Florida,0.5862,7.0,7,True,False
FL,BREVARD,2009,Florida,0.674,7.0,7,True,False
FL,BREVARD,2010,Florida,0.9364,7.0,7,True,True
FL,BREVARD,2011,Florida,0.8849,7.0,7,True,True
FL,BREVARD,2012,Florida,0.6639,7.0,7,True,True
FL,BROWARD,2006,Florida,0.7029,7.0,7,True,False
FL,BROWARD,2007,Florida,0.9997,7.0,7,True,False
FL,BROWARD,2008,Florida,1.2651,7.0,7,True,False
FL,BROWARD,2009,Florida,1.4911,7.0,7,True,False
FL,BROWARD,2010,Florida,1.7315,7.0,7,True,True
FL,BROWARD,2011,Florida,0.8352,7.0,7,True,True
FL,BROWARD,2012,Florida,0.446,7.0,7,True,True
FL,CALHOUN,2006,Florida,0.1323,7.0,7,True,False
FL,CALHOUN,2007,Florida,0.1421,7.0,7,True,False
FL,CALHOUN,2008,Florida,0.1551,7.0,7,True,False
FL,CALHOUN,2009,Florida,0.1756,7.0,7,True,False
FL,CALHOUN,2010,Florida,0.1861,7.0,7,True,True
FL,CALHOUN,2011,Florida,0.191,7.0,7,True,True
FL,CALHOUN,2012,Florida,0.1905,7.0,7,True,True
FL,CHARLOTTE,2006,Florida,0.5228,7.0,7,True,False
FL,CHARLOTTE,2007,Florida,0.6471,7.0,7,True,False
FL,CHARLOTTE,2008,Florida,0.8868,7.0,7,True,False
FL,CHARLOTTE,2009,Florida,1.2001,7.0,7,True,False
FL,CHARLOTTE,2010,Florida,1.4418,7.0,7,True,True
FL,CHARLOTTE,2011,Florida,1.2958,7.0,7,True,True
