State,Year,TotalOverdose,TotalDeath,OverdoseProp,PolicyState,Post
AK,2003,42,1556,0.02699228791773779,False,False
AK,2004,38,1446,0.02627939142461964,False,False
AK,2005,39,1573,0.024793388429752067,False,False
AK,2006,37,1666,0.02220888355342137,False,False
AK,2007,47,1766,0.026613816534541337,False,False
AK,2008,74,1738,0.04257767548906789,False,False
AK,2009,99,2580,0.03837209302325582,False,False
AK,2010,43,1891,0.022739291380222106,False,False
AK,2011,64,1974,0.03242147922998987,False,False
AK,2012,86,2342,0.036720751494449186,False,False
AK,2013,66,2546,0.025923016496465043,False,False
AK,2014,77,2602,0.02959262106072252,False,False
AK,2015,78,2662,0.029301277235161533,False,False
AL,2003,73,12801,0.005702679478165769,False,False
AL,2004,120,18066,0.006642311524410495,False,False
AL,2005,121,18607,0.006502929005213091,False,False
AL,2006,175,19042,0.009190211112278123,False,False
AL,2007,287,23721,0.012098984022596012,False,False
AL,2008,361,26850,0.013445065176908752,False,False
AL,2009,409,28555,0.014323235860619857,False,False
AL,2010,321,27427,0.011703795529952236,False,False
AL,2011,344,27736,0.012402653591000866,False,False
AL,2012,363,27788,0.013063192745069814,False,False
AL,2013,437,30817,0.014180484797352112,False,False
AL,2014,517,30984,0.0166860315001291,False,False
AL,2015,534,32519,0.016421169162643377,False,False
AR,2003,18,3357,0.005361930294906166,False,False
AR,2004,35,3231,0.010832559579077685,False,False
AR,2005,61,5409,0.011277500462192641,False,False
AR,2006,72,7527,0.009565563969709047,False,False
AR,2007,81,7044,0.011499148211243612,False,True
AR,2008,107,9545,0.011210057621791513,False,True
AR,2009,104,8505,0.012228101116990006,False,True
AR,2010,144,10206,0.014109347442680775,False,True
AR,2011,135,12000,0.01125,False,True
AR,2012,123,10990,0.011191992720655141,False,True
AR,2013,113,10003,0.01129661101669499,False,True
AR,2014,142,11918,0.01191475079711361,False,True
AR,2015,125,10568,0.011828160484481454,False,True
AZ,2003,373,4247,0.08782670120084765,False,False
AZ,2004,421,421,1.0,False,False
AZ,2005,36,3049,0.011807149885208265,False,False
